"Timestamp","Branch","Select your favourite movie from below.","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences","Character Preferences"
"2022/11/04 11:12:34 AM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek;Puss in Boots","","","",""
"2022/11/04 11:13:50 AM GMT+5:30","COE,CSE,CSBS","Up","","","","","Carl Fredricksen;Charles Muntz","",""
"2022/11/04 11:25:06 AM GMT+5:30","COE,CSE,CSBS","Up","","","","","Carl Fredricksen;Russel;Ellie Fredrickson;Dug","",""
"2022/11/04 11:26:34 AM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Judy Hops;Nick Wilde;Bellwether",""
"2022/11/04 11:27:11 AM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Baymax;Tadashi Hamada","","","","","",""
"2022/11/04 11:28:23 AM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Mavis","","",""
"2022/11/04 11:30:24 AM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek;Donkey;Puss in Boots","","","",""
"2022/11/04 12:11:20 PM GMT+5:30","BME,BT","Up","","","","","Carl Fredricksen;Russel","",""
"2022/11/04 12:12:19 PM GMT+5:30","BME,BT","Inside Out","","Joy;Sadness;Bing Bong","","","","",""
"2022/11/04 12:13:17 PM GMT+5:30","BME,BT","Zootopia","","","","","","Judy Hops;Nick Wilde;Chief Bogo",""
"2022/11/04 12:20:54 PM GMT+5:30","COE,CSE,CSBS","Peter Pan","","","","","","","Tinkerbell"
"2022/11/04 12:28:20 PM GMT+5:30","COE,CSE,CSBS","Hotel Transylvania","","","","Dracula","","",""
"2022/11/04 12:42:28 PM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek","","","",""
"2022/11/04 12:43:40 PM GMT+5:30","ENC,EEC,ECE","Big Hero Six","Baymax;Hiro Hamada","","","","","",""
"2022/11/04 12:47:38 PM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Judy Hops;Nick Wilde;Bellwether;Chief Bogo;Officer Clawhauser;Mayor Lionheart;Mr Big",""
"2022/11/04 1:00:04 PM GMT+5:30","COE,CSE,CSBS","Up","","","","","Ellie Fredrickson","",""
"2022/11/04 1:15:08 PM GMT+5:30","COE,CSE,CSBS","Up","","","","","Russel","",""
"2022/11/04 1:48:07 PM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Judy Hops;Nick Wilde",""
"2022/11/04 2:24:42 PM GMT+5:30","ENC,EEC,ECE","Inside Out","","Joy","","","","",""
"2022/11/04 2:24:54 PM GMT+5:30","COE,CSE,CSBS","Inside Out","","Bing Bong","","","","",""
"2022/11/04 2:42:51 PM GMT+5:30","ENC,EEC,ECE","Big Hero Six","Baymax;Hiro Hamada;Tadashi Hamada","","","","","",""
"2022/11/04 4:49:45 PM GMT+5:30","COE,CSE,CSBS","Peter Pan","","","","","","","Tick Tock the crocodile"
"2022/11/04 5:27:16 PM GMT+5:30","COE,CSE,CSBS","Zootopia","","","","","","Judy Hops",""
"2022/11/04 5:38:43 PM GMT+5:30","COE,CSE,CSBS","Shrek","","","Shrek","","","",""
"2022/11/05 11:02:24 PM GMT+5:30","COE,CSE,CSBS","Up","","","","","Carl Fredricksen;Russel;Dug","",""
"2022/11/06 12:45:36 AM GMT+5:30","BME,BT","Zootopia","","","","","","Nick Wilde",""
"2022/11/06 10:11:30 PM GMT+5:30","COE,CSE,CSBS","Big Hero Six","Hiro Hamada","","","","","",""
"2022/11/06 10:12:22 PM GMT+5:30","COE,CSE,CSBS","Inside Out","","Joy","","","","",""
"2022/11/06 10:12:32 PM GMT+5:30","ENC,EEC,ECE","Up","","","","","Carl Fredricksen","",""
